doc_id,major_large,major_small,company,season,job_large,job_small,school,extra_spec,pro_rating,doc_url
3816,자연/공학/의약계열,기계/항공,현대건설(주),2015년 하반기,건설,건축·설계·인테리어,수도권4년,"['학점 3.6/4.5', '토익 915', '토스 Level6', '해외경험 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144566
3817,인문/사회계열,경영학,현대오일뱅크(주),2019년 상반기,경영·사무,사무·총무·법무,서울4년,"['학점 3.9/4.5', '토익 955', '토스 Level7', '해외경험 1회', '인턴 1회', '동아리 2회', '교내활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/198599
3818,자연/공학/의약계열,산업공학,SK하이닉스(주),2017년 상반기,생산·제조,생산관리·공정관리·품질관리,수도권4년,"['학점 3.3/4.5', '토스 Level6']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/200124
3819,자연/공학/의약계열,정보통신학,삼성전자(주),2017년 상반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.85/4.5', '토익 770', '토스 Level5', '자격증 5개', '수상 2회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/190078
3820,기타,기타,CJ제일제당(주),2017년 상반기,생산·제조,생산·제조·설비·조립,초대졸,"['학점 3.6/4.5', '자격증 3개']",3.0,https://www.jobkorea.co.kr/starter/PassAssay/View/196127
3821,인문/사회계열,경영학,한세실업㈜,2019년 상반기,무역·유통,해외영업·무역영업,서울4년,"['학점 3.65/4.5', '토익 960', '오픽 AL', '해외경험 1회', '인턴 3회', '동아리 2회', '교내활동 2회', '사회활동 3회', '자원봉사 4회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/198852
3822,자연/공학/의약계열,기계/항공,엘에스전선㈜,2015년 하반기,생산·제조,생산·제조·설비·조립,지방4년,"['학점 3.6/4.5', '토익 825', '토스 Level6', '해외경험 2회', '수상 2회', '자원봉사 4회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144310
3823,자연/공학/의약계열,기계/항공,현대모비스(주),2015년 하반기,생산·제조,생산관리·공정관리·품질관리,지방4년,"['학점 3.6/4.5', '토익 825', '토스 Level6', '해외경험 2회', '수상 2회', '자원봉사 4회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144313
3824,자연/공학/의약계열,IT/컴퓨터공학,SK하이닉스(주),2013년 하반기,연구개발·설계,반도체·디스플레이,수도권4년,['학점 3.2/4.5'],-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145245
3825,자연/공학/의약계열,전자전기공학,SK하이닉스(주),2017년 하반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.82/4.5', '토익 805', '토스 Level6', '자격증 2개', '인턴 1회', '수상 1회', '동아리 1회', '교내활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/195363
